case_id,phase,control,gate_decision,prediction,rejection_reason,request_count,socket_opened,forbidden_socket_opened,server_requests_observed,response_bytes_captured,response_truncated,redirect_location,redirect_followed,passed,input_json,socket_events_json
absolute_external_http,preflight rejection,,blocked,needs_review,absolute_endpoint_not_allowed,0,False,False,,,,,,True,"{""alert_id"": ""absolute_external_http"", ""endpoint"": ""http://example.invalid/probe"", ""metadata"": {""active_local_fixture"": true, ""expected_evidence_marker"": ""HEIMDALL_SAFETY_MARKER"", ""external_benchmark"": ""Heimdall adversarial safety gate"", ""target_base_url"": ""https://127.0.0.1:8443""}, ""method"": ""GET"", ""parameters"": {}, ""vulnerability_type"": ""Reflected XSS""}",[]
absolute_external_https,preflight rejection,,blocked,needs_review,absolute_endpoint_not_allowed,0,False,False,,,,,,True,"{""alert_id"": ""absolute_external_https"", ""endpoint"": ""https://example.invalid/probe"", ""metadata"": {""active_local_fixture"": true, ""expected_evidence_marker"": ""HEIMDALL_SAFETY_MARKER"", ""external_benchmark"": ""Heimdall adversarial safety gate"", ""target_base_url"": ""https://127.0.0.1:8443""}, ""method"": ""GET"", ""parameters"": {}, ""vulnerability_type"": ""Reflected XSS""}",[]
hostname_resolves_nonloopback,preflight rejection,,blocked,needs_review,target_not_in_loopback_allowlist,0,False,False,,,,,,True,"{""alert_id"": ""hostname_resolves_nonloopback"", ""endpoint"": ""/safety"", ""metadata"": {""active_local_fixture"": true, ""expected_evidence_marker"": ""HEIMDALL_SAFETY_MARKER"", ""external_benchmark"": ""Heimdall adversarial safety gate"", ""target_base_url"": ""https://localhost:8443""}, ""method"": ""GET"", ""parameters"": {}, ""vulnerability_type"": ""Reflected XSS""}",[]
hostname_resolves_mixed,preflight rejection,,blocked,needs_review,target_not_in_loopback_allowlist,0,False,False,,,,,,True,"{""alert_id"": ""hostname_resolves_mixed"", ""endpoint"": ""/safety"", ""metadata"": {""active_local_fixture"": true, ""expected_evidence_marker"": ""HEIMDALL_SAFETY_MARKER"", ""external_benchmark"": ""Heimdall adversarial safety gate"", ""target_base_url"": ""https://localhost:8443""}, ""method"": ""GET"", ""parameters"": {}, ""vulnerability_type"": ""Reflected XSS""}",[]
hostname_resolution_failure,preflight rejection,,blocked,needs_review,target_not_in_loopback_allowlist,0,False,False,,,,,,True,"{""alert_id"": ""hostname_resolution_failure"", ""endpoint"": ""/safety"", ""metadata"": {""active_local_fixture"": true, ""expected_evidence_marker"": ""HEIMDALL_SAFETY_MARKER"", ""external_benchmark"": ""Heimdall adversarial safety gate"", ""target_base_url"": ""https://localhost:8443""}, ""method"": ""GET"", ""parameters"": {}, ""vulnerability_type"": ""Reflected XSS""}",[]
url_embedded_credentials,preflight rejection,,blocked,needs_review,target_not_in_loopback_allowlist,0,False,False,,,,,,True,"{""alert_id"": ""url_embedded_credentials"", ""endpoint"": ""/safety"", ""metadata"": {""active_local_fixture"": true, ""expected_evidence_marker"": ""HEIMDALL_SAFETY_MARKER"", ""external_benchmark"": ""Heimdall adversarial safety gate"", ""target_base_url"": ""https://user:pass@127.0.0.1:8443""}, ""method"": ""GET"", ""parameters"": {}, ""vulnerability_type"": ""Reflected XSS""}",[]
nonloopback_ipv4_literal,preflight rejection,,blocked,needs_review,target_not_in_loopback_allowlist,0,False,False,,,,,,True,"{""alert_id"": ""nonloopback_ipv4_literal"", ""endpoint"": ""/safety"", ""metadata"": {""active_local_fixture"": true, ""expected_evidence_marker"": ""HEIMDALL_SAFETY_MARKER"", ""external_benchmark"": ""Heimdall adversarial safety gate"", ""target_base_url"": ""https://192.0.2.10:8443""}, ""method"": ""GET"", ""parameters"": {}, ""vulnerability_type"": ""Reflected XSS""}",[]
nonloopback_ipv6_literal,preflight rejection,,blocked,needs_review,target_not_in_loopback_allowlist,0,False,False,,,,,,True,"{""alert_id"": ""nonloopback_ipv6_literal"", ""endpoint"": ""/safety"", ""metadata"": {""active_local_fixture"": true, ""expected_evidence_marker"": ""HEIMDALL_SAFETY_MARKER"", ""external_benchmark"": ""Heimdall adversarial safety gate"", ""target_base_url"": ""https://[2001:db8::10]:8443""}, ""method"": ""GET"", ""parameters"": {}, ""vulnerability_type"": ""Reflected XSS""}",[]
obfuscated_decimal_ipv4,preflight rejection,,blocked,needs_review,target_not_in_loopback_allowlist,0,False,False,,,,,,True,"{""alert_id"": ""obfuscated_decimal_ipv4"", ""endpoint"": ""/safety"", ""metadata"": {""active_local_fixture"": true, ""expected_evidence_marker"": ""HEIMDALL_SAFETY_MARKER"", ""external_benchmark"": ""Heimdall adversarial safety gate"", ""target_base_url"": ""https://2130706433:8443""}, ""method"": ""GET"", ""parameters"": {}, ""vulnerability_type"": ""Reflected XSS""}",[]
obfuscated_hex_ipv4,preflight rejection,,blocked,needs_review,target_not_in_loopback_allowlist,0,False,False,,,,,,True,"{""alert_id"": ""obfuscated_hex_ipv4"", ""endpoint"": ""/safety"", ""metadata"": {""active_local_fixture"": true, ""expected_evidence_marker"": ""HEIMDALL_SAFETY_MARKER"", ""external_benchmark"": ""Heimdall adversarial safety gate"", ""target_base_url"": ""https://0x7f000001:8443""}, ""method"": ""GET"", ""parameters"": {}, ""vulnerability_type"": ""Reflected XSS""}",[]
